case_id,channel,seed,snr_db,trials,metric,value,reported_value,config,log
pdcch_css_al4,PDCCH,67890,5,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,5,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,10,200,p_detect,1,1.0000,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,10,200,p_miss,0,0.0000,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,10,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,10,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,15,200,p_detect,1,1.0000,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,15,200,p_miss,0,0.0000,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,15,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,15,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,20,200,p_detect,1,1.0000,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,20,200,p_miss,0,0.0000,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,20,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,20,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al8,PDCCH,12345,-10,200,p_detect,0.14,0.1400,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,-10,200,p_miss,0.86,0.8600,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,-10,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,-10,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,-5,200,p_detect,1,1.0000,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,-5,200,p_miss,0,0.0000,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,-5,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,-5,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,0,200,p_detect,1,1.0000,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,0,200,p_miss,0,0.0000,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,0,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,0,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,5,200,p_detect,1,1.0000,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,5,200,p_miss,0,0.0000,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,5,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,5,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,10,200,p_detect,1,1.0000,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,10,200,p_miss,0,0.0000,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,10,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,10,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,15,200,p_detect,1,1.0000,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,15,200,p_miss,0,0.0000,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,15,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,15,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,20,200,p_detect,1,1.0000,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,20,200,p_miss,0,0.0000,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,20,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,20,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,67890,-10,200,p_detect,0.17,0.1700,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,-10,200,p_miss,0.83,0.8300,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,-10,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,-10,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,-5,200,p_detect,1,1.0000,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,-5,200,p_miss,0,0.0000,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,-5,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,-5,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,0,200,p_detect,1,1.0000,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,0,200,p_miss,0,0.0000,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,0,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,0,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,5,200,p_detect,1,1.0000,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,5,200,p_miss,0,0.0000,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,5,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,5,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,10,200,p_detect,1,1.0000,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,10,200,p_miss,0,0.0000,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,10,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,10,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,15,200,p_detect,1,1.0000,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,15,200,p_miss,0,0.0000,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,15,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,15,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,20,200,p_detect,1,1.0000,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,20,200,p_miss,0,0.0000,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,20,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al8,PDCCH,67890,20,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al8_seed67890.cfg,logs/pdcch_css_al8_seed67890.txt
pdcch_css_al16,PDCCH,12345,-10,200,p_detect,0.94,0.9400,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,-10,200,p_miss,0.06,0.0600,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,-10,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,-10,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,-5,200,p_detect,1,1.0000,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,-5,200,p_miss,0,0.0000,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,-5,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,-5,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,0,200,p_detect,1,1.0000,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,0,200,p_miss,0,0.0000,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,0,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,0,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,5,200,p_detect,1,1.0000,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,5,200,p_miss,0,0.0000,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,5,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,5,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,10,200,p_detect,1,1.0000,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,10,200,p_miss,0,0.0000,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,10,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,10,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,15,200,p_detect,1,1.0000,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,15,200,p_miss,0,0.0000,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,15,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,15,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,20,200,p_detect,1,1.0000,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,20,200,p_miss,0,0.0000,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,20,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,12345,20,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al16_seed12345.cfg,logs/pdcch_css_al16_seed12345.txt
pdcch_css_al16,PDCCH,67890,-10,200,p_detect,0.97,0.9700,configs/pdcch_css_al16_seed67890.cfg,logs/pdcch_css_al16_seed67890.txt
pdcch_css_al16,PDCCH,67890,-10,200,p_miss,0.03,0.0300,configs/pdcch_css_al16_seed67890.cfg,logs/pdcch_css_al16_seed67890.txt
pdcch_css_al16,PDCCH,67890,-10,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al16_seed67890.cfg,logs/pdcch_css_al16_seed67890.txt
pdcch_css_al16,PDCCH,67890,-10,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al16_seed67890.cfg,logs/pdcch_css_al16_seed67890.txt
pdcch_css_al16,PDCCH,67890,-5,200,p_detect,1,1.0000,configs/pdcch_css_al16_seed67890.cfg,logs/pdcch_css_al16_seed67890.txt
pdcch_css_al16,PDCCH,67890,-5,200,p_miss,0,0.0000,configs/pdcch_css_al16_seed67890.cfg,logs/pdcch_css_al16_seed67890.txt
pdcch_css_al16,PDCCH,67890,-5,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al16_seed67890.cfg,logs/pdcch_css_al16_seed67890.txt
pdcch_css_al16,PDCCH,67890,-5,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al16_seed67890.cfg,logs/pdcch_css_al16_seed67890.txt
pdcch_css_al16,PDCCH,67890,0,200,p_detect,1,1.0000,configs/pdcch_css_al16_seed67890.cfg,logs/pdcch_css_al16_seed67890.txt
pdcch_css_al16,PDCCH,67890,0,200,p_miss,0,0.0000,configs/pdcch_css_al16_seed67890.cfg,logs/pdcch_css_al16_seed67890.txt
pdcch_css_al16,PDCCH,67890,0,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al16_seed67890.cfg,logs/pdcch_css_al16_seed67890.txt
pdcch_css_al16,PDCCH,67890,0,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al16_seed67890.cfg,logs/pdcch_css_al16_seed67890.txt
pdcch_css_al16,PDCCH,67890,5,200,p_detect,1,1.0000,configs/pdcch_css_al16_seed67890.cfg,logs/pdcch_css_al16_seed67890.txt
pdcch_css_al16,PDCCH,67890,5,200,p_miss,0,0.0000,configs/pdcch_css_al16_seed67890.cfg,logs/pdcch_css_al16_seed67890.txt
pdcch_css_al16,PDCCH,67890,5,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al16_seed67890.cfg,logs/pdcch_css_al16_seed67890.txt
pdcch_css_al16,PDCCH,67890,5,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al16_seed67890.cfg,logs/pdcch_css_al16_seed67890.txt
pdcch_css_al16,PDCCH,67890,10,200,p_detect,1,1.0000,configs/pdcch_css_al16_seed67890.cfg,logs/pdcch_css_al16_seed67890.txt
pdcch_css_al16,PDCCH,67890,10,200,p_miss,0,0.0000,configs/pdcch_css_al16_seed67890.cfg,logs/pdcch_css_al16_seed67890.txt
pdcch_css_al16,PDCCH,67890,10,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al16_seed67890.cfg,logs/pdcch_css_al16_seed67890.txt
pdcch_css_al16,PDCCH,67890,10,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al16_seed67890.cfg,logs/pdcch_css_al16_seed67890.txt
pdcch_css_al16,PDCCH,67890,15,200,p_detect,1,1.0000,configs/pdcch_css_al16_seed67890.cfg,logs/pdcch_css_al16_seed67890.txt
